"ban_w1","ban_w2","ban_change","eo_banimm","eo_banimm_w2","american_identity","amer_id_shift","dem_rep_ind","rep_ind_dem","dem_p","rep_p","partyid","partyid_w2","some_coll_less","education","education_w2","gender","gender_w2","female","age","age_w2","age_r","income","income_w2","income_less_60","white","race","race_w2","vote_trump","trump_app_r","muslim_scale","key_change","eo_keystone","eo_keystone_w2","wall_change","eo_wall","eo_wall_w2","voted_2016","voted_2016_w2","watch_dem_dummy"
3,NA,NA,4,NA,17,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1989,NA,27,3,NA,1,1,1,NA,0,1,29,NA,3,NA,NA,3,NA,1,NA,NA
3,NA,NA,5,NA,16,NA,3,2,0,0,3,NA,0,4,NA,1,NA,0,1974,NA,42,2,NA,1,0,6,NA,1,1,39,NA,5,NA,NA,4,NA,2,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1987,NA,29,2,NA,1,0,2,NA,1,1,15,NA,5,NA,NA,5,NA,2,NA,NA
1,NA,NA,1,NA,12,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1989,NA,27,2,NA,1,0,2,NA,0,0,44,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,14,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1982,NA,34,1,NA,1,1,1,NA,0,0,19,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,4,NA,13,NA,3,2,0,0,3,NA,1,3,NA,1,NA,0,1981,NA,35,5,NA,0,0,4,NA,1,1,29,NA,3,NA,NA,2,NA,2,NA,NA
1,NA,NA,1,NA,14,NA,1,3,1,0,1,NA,0,4,NA,1,NA,0,1973,NA,43,6,NA,0,1,1,NA,NA,0,40,NA,1,NA,NA,1,NA,3,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,6,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1990,NA,26,1,NA,1,0,5,NA,0,0,44,NA,1,NA,NA,1,NA,1,NA,NA
2,NA,NA,3,NA,16,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1994,NA,22,1,NA,1,0,3,NA,0,0,33,NA,4,NA,NA,3,NA,1,NA,NA
1,NA,NA,2,NA,12,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1985,NA,31,2,NA,1,1,1,NA,NA,0,30,NA,2,NA,NA,2,NA,3,NA,NA
NA,NA,NA,NA,NA,16,NA,NA,NA,0,0,NA,NA,1,3,NA,2,NA,1,1986,NA,30,4,NA,0,0,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,2,NA,9,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1986,NA,30,1,NA,1,0,6,NA,0,0,41,NA,3,NA,NA,1,NA,1,NA,NA
2,NA,NA,3,NA,15,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1956,NA,60,1,NA,1,1,1,NA,0,0,34,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,14,NA,3,2,0,0,3,NA,1,1,NA,1,NA,0,1952,NA,64,2,NA,1,1,1,NA,1,1,24,NA,2,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,2,NA,1,NA,0,1971,NA,45,5,NA,0,1,1,NA,1,1,10,NA,5,NA,NA,5,NA,2,NA,NA
2,NA,NA,3,NA,19,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1954,NA,62,3,NA,1,1,1,NA,0,0,41,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,4,NA,16,NA,3,2,0,0,3,NA,1,1,NA,1,NA,0,1995,NA,21,3,NA,1,1,1,NA,NA,0,42,NA,1,NA,NA,1,NA,3,NA,NA
1,NA,NA,1,NA,17,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1985,NA,31,3,NA,1,1,1,NA,0,0,45,NA,1,NA,NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,9,NA,NA,NA,0,0,NA,NA,1,2,NA,1,NA,0,1997,NA,19,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,2,NA,14,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1990,NA,26,3,NA,1,1,1,NA,0,0,32,NA,3,NA,NA,2,NA,1,NA,NA
3,NA,NA,4,NA,17,NA,2,1,0,1,2,NA,1,2,NA,1,NA,0,1973,NA,43,5,NA,0,1,1,NA,0,0,35,NA,5,NA,NA,2,NA,1,NA,NA
3,NA,NA,5,NA,17,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1978,NA,38,1,NA,1,0,6,NA,0,0,30,NA,3,NA,NA,5,NA,1,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1961,NA,55,4,NA,0,0,4,NA,1,1,24,NA,5,NA,NA,5,NA,2,NA,NA
1,NA,NA,2,NA,12,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1992,NA,24,5,NA,0,1,1,NA,0,0,41,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,15,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1972,NA,44,2,NA,1,1,1,NA,0,0,43,NA,1,NA,NA,1,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,5,NA,13,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1980,NA,36,2,NA,1,1,1,NA,1,1,32,NA,5,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,19,NA,2,1,0,1,2,NA,1,2,NA,1,NA,0,1987,NA,29,4,NA,0,1,1,NA,1,1,9,NA,5,NA,NA,5,NA,2,NA,NA
3,NA,NA,5,NA,13,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1986,NA,30,5,NA,0,0,2,NA,NA,0,34,NA,1,NA,NA,1,NA,4,NA,NA
1,NA,NA,1,NA,10,NA,3,2,0,0,3,NA,1,3,NA,1,NA,0,1982,NA,34,4,NA,0,1,1,NA,0,0,45,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,2,NA,16,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1991,NA,25,2,NA,1,1,1,NA,NA,0,36,NA,2,NA,NA,2,NA,4,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1981,NA,35,2,NA,1,1,1,NA,1,1,9,NA,3,NA,NA,5,NA,2,NA,NA
1,NA,NA,2,NA,10,NA,1,3,1,0,1,NA,1,1,NA,1,NA,0,1987,NA,29,1,NA,1,1,1,NA,0,0,32,NA,3,NA,NA,3,NA,1,NA,NA
1,NA,NA,1,NA,16,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1996,NA,20,5,NA,0,1,1,NA,NA,0,41,NA,1,NA,NA,1,NA,3,NA,NA
1,NA,NA,1,NA,15,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1988,NA,28,6,NA,0,1,1,NA,0,0,40,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,12,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1991,NA,25,2,NA,1,1,1,NA,0,0,44,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,2,NA,20,NA,NA,NA,0,0,NA,NA,1,3,NA,2,NA,1,1950,NA,66,2,NA,1,1,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,4,NA,NA
3,NA,NA,5,NA,17,NA,2,1,0,1,2,NA,1,3,NA,1,NA,0,1971,NA,45,2,NA,1,1,1,NA,1,1,29,NA,4,NA,NA,3,NA,2,NA,NA
NA,NA,NA,NA,NA,14,NA,NA,NA,0,0,NA,NA,1,1,NA,2,NA,1,1990,NA,26,4,NA,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,14,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1974,NA,42,1,NA,1,1,1,NA,NA,0,39,NA,1,NA,NA,1,NA,3,NA,NA
3,NA,NA,4,NA,16,NA,1,3,1,0,1,NA,1,3,NA,1,NA,0,1985,NA,31,4,NA,0,0,3,NA,1,1,26,NA,5,NA,NA,4,NA,2,NA,NA
3,NA,NA,5,NA,16,NA,3,2,0,0,3,NA,1,3,NA,2,NA,1,1962,NA,54,1,NA,1,1,1,NA,1,0,27,NA,2,NA,NA,2,NA,2,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,2,NA,2,NA,1,1988,NA,28,1,NA,1,1,1,NA,1,1,31,NA,4,NA,NA,5,NA,2,NA,NA
3,NA,NA,4,NA,19,NA,1,3,1,0,1,NA,1,1,NA,1,NA,0,1983,NA,33,1,NA,1,1,1,NA,0,1,26,NA,4,NA,NA,5,NA,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,1,NA,0,1965,NA,51,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,2,NA,1,1987,NA,29,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,1,NA,8,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1982,NA,34,1,NA,1,1,1,NA,0,0,40,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,1,NA,2,NA,1,1967,NA,49,2,NA,1,1,1,NA,1,1,27,NA,3,NA,NA,4,NA,2,NA,NA
1,NA,NA,2,NA,10,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1970,NA,46,3,NA,1,1,1,NA,0,0,39,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,20,NA,2,1,0,1,2,NA,1,2,NA,1,NA,0,1993,NA,23,2,NA,1,1,1,NA,1,1,9,NA,5,NA,NA,5,NA,2,NA,NA
1,NA,NA,1,NA,16,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1976,NA,40,3,NA,1,0,2,NA,0,0,39,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,10,NA,3,2,0,0,4,NA,1,1,NA,2,NA,1,1979,NA,37,2,NA,1,1,1,NA,0,0,44,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,9,NA,2,1,0,1,2,NA,1,1,NA,1,NA,0,1984,NA,32,4,NA,0,1,1,NA,NA,1,38,NA,1,NA,NA,2,NA,4,NA,NA
1,NA,NA,1,NA,4,NA,1,3,1,0,1,NA,1,2,NA,1,NA,0,1994,NA,22,1,NA,1,0,4,NA,0,0,40,NA,1,NA,NA,1,NA,1,NA,NA
2,NA,NA,3,NA,20,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1989,NA,27,4,NA,0,1,1,NA,0,1,32,NA,3,NA,NA,3,NA,1,NA,NA
1,NA,NA,1,NA,15,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1993,NA,23,3,NA,1,1,1,NA,0,0,40,NA,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,1,NA,4,NA,1,3,1,0,1,NA,1,2,NA,2,NA,1,1987,NA,29,3,NA,1,0,2,NA,NA,0,39,NA,1,NA,NA,1,NA,4,NA,NA
3,NA,NA,5,NA,6,NA,2,1,0,1,2,NA,1,3,NA,2,NA,1,1993,NA,23,5,NA,0,1,1,NA,1,1,28,NA,5,NA,NA,5,NA,2,NA,NA
2,NA,NA,3,NA,15,NA,3,2,0,0,3,NA,1,2,NA,2,NA,1,1990,NA,26,3,NA,1,1,1,NA,1,1,29,NA,4,NA,NA,2,NA,2,NA,NA
1,NA,NA,1,NA,10,NA,1,3,1,0,1,NA,1,3,NA,2,NA,1,1981,NA,35,3,NA,1,1,1,NA,0,0,37,NA,1,NA,NA,1,NA,1,NA,NA
3,NA,NA,5,NA,16,NA,3,2,0,0,3,NA,1,3,NA,1,NA,0,1987,NA,29,3,NA,1,1,1,NA,1,1,11,NA,5,NA,NA,5,NA,2,NA,NA
